Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Target,RSI,MA5,MA20
1768348800000,2026-01-14,BTCUSDT,95413.99,97924.49,94559.28,96951.78,22851.89428,2201535821.648615,5346212,95604.8,122.55930519720172,95385.686,
1768262400000,2026-01-13,BTCUSDT,91296.2,96495.0,91042.66,95414.0,23021.51482,2149770801.117704,5025071,96951.78,170.5419192968282,95733.85800000001,
1768176000000,2026-01-12,BTCUSDT,91013.66,92519.95,90128.44,91296.2,16188.08268,1479964862.2693062,4099509,95414.0,509.57628775290857,94963.54400000001,
1768089600000,2026-01-11,BTCUSDT,90504.7,91283.89,90236.0,91013.65,5477.13594,497245863.9319499,1282029,91296.2,391.0247996489884,94056.086,
1768003200000,2026-01-10,BTCUSDT,90641.27,90832.0,90404.0,90504.7,3104.11722,281321375.4802981,766357,91013.65,271.9359785517197,93036.066,90905.303
1767916800000,2026-01-09,BTCUSDT,91100.0,92082.55,89694.66,90641.28,15590.27939,1416907180.1870482,4155703,90504.7,565.5995310535748,91773.96599999999,91224.3425
1767744000000,2026-01-07,BTCUSDT,93747.97,93747.97,90675.52,91364.16,14276.49025,1311906952.9749737,4340252,90641.28,473.7519133737725,90963.99799999999,91560.04250000001
1767657600000,2026-01-06,BTCUSDT,93859.71,94444.44,91262.94,93747.97,18546.41829,1728045542.2983751,5018686,91364.16,256.4362629229043,91454.352,91782.44149999999
1767571200000,2026-01-05,BTCUSDT,91529.74,94789.08,91514.81,93859.71,20673.59584,1927455243.548076,5485489,93747.97,246.35889379747437,92023.564,92012.927
1767484800000,2026-01-04,BTCUSDT,90628.01,91810.0,90628.0,91529.73,10426.5297,952160980.5212084,2207037,93859.71,-696.9943792167212,92228.56999999999,92172.0595
1767398400000,2026-01-03,BTCUSDT,89995.14,90741.16,89314.01,90628.01,7057.46716,635514773.6093655,1684214,91529.73,-217.84455836039837,92225.916,92369.942
1767312000000,2026-01-02,BTCUSDT,88839.05,90961.81,88379.88,89995.13,17396.97301,1558958860.8870876,5010211,90628.01,-100.1238200223576,91952.11,92408.4315
1767225600000,2026-01-01,BTCUSDT,87648.21,88919.45,87550.43,88839.04,6279.57133,552991635.2911001,1449281,89995.13,-70.85698535437061,90970.324,92370.3705
1767139200000,2025-12-31,BTCUSDT,88485.5,89200.0,87250.0,87648.22,11558.62047,1019746835.2795268,2897396,88839.04,-59.09561645832761,89728.026,92274.798
1767052800000,2025-12-30,BTCUSDT,87237.13,89400.0,86845.66,88485.49,13105.91001,1155016404.4786751,3542176,87648.22,-49.517321046172725,89119.178,92226.336
